id,side,entry_price,qty,sl,tp,opened_at,entry_fee,strategy_id,symbol,exit_price,closed_at,gross_pnl,net_pnl,fees,taxes,breakeven_moved
bt_BTC_Adaptive_2_0,BUY,97422.99715499999,0.0020539367909168343,97210.3400296056,98192.17985197195,2025-02-20 11:00:00,0.15007550860353042,BTC_Adaptive,BTC,97139.535935,2025-02-20 11:37:00,-0.5822114285561356,-0.7318502785882489,0.2997143586356437,0.0,
bt_SOL_Adaptive_3_1,BUY,174.197055,0.5753739930955121,174.37125205499999,181.03387957930272,2025-02-20 11:00:00,0.07517134134062141,SOL_Adaptive,SOL,174.12289500000003,2025-02-20 14:46:00,-0.0426697353279504,-0.11780907436707586,0.15031068037974687,0.0,True
bt_SOL_Adaptive_7_0,BUY,175.02747,0.5716245569909684,175.20249746999997,184.46563444050201,2025-02-20 18:25:00,0.0750375,SOL_Adaptive,SOL,175.042435,2025-02-21 00:25:00,0.008554361495380063,-0.06657509789069528,0.15008141577112155,8.554361495380064e-05,True
bt_SOL_Adaptive_9_0,BUY,176.698305,0.5666043401892458,176.87500330499998,183.79489381404818,2025-02-21 08:05:00,0.07508851988781233,SOL_Adaptive,SOL,176.721595,2025-02-21 12:09:00,0.013196215083009189,-0.0620341641169455,0.1501869369369369,0.0001319621508300919,True
bt_BTC_Adaptive_6_0,BUY,97780.87600499998,0.002047059230532953,97878.65688100498,100704.48274225002,2025-02-20 16:30:00,0.150122433596725,BTC_Adaptive,BTC,97663.58378,2025-02-21 15:25:00,-0.2401041318559629,-0.390046487353796,0.300064789094558,0.0,True
bt_BTC_Adaptive_15_0,SELL,96017.257355,0.0020802796561547364,95921.240097645,92116.69951897138,2025-02-21 19:25:00,0.14980706033653515,BTC_Adaptive,BTC,95990.98150499999,2025-02-21 23:21:00,0.05466111620318476,-0.09565155945822988,0.2995731248359179,0.0005466111620318477,True
bt_SOL_Adaptive_13_0,SELL,170.684615,0.5838393274170948,170.513930385,155.06802798456815,2025-02-21 17:45:00,0.07473929311653434,SOL_Adaptive,SOL,170.615265,2025-02-22 00:36:00,0.04048925735638383,-0.03462456139069705,0.14944821929005137,0.00040489257356383836,True
bt_BTC_Adaptive_20_0,BUY,96787.479555,0.0020675749661331223,96551.52232535376,97632.46837323115,2025-02-22 12:35:00,0.15008652732227953,BTC_Adaptive,BTC,96498.50661000001,2025-02-22 13:55:00,-0.5974732269717363,-0.747111649373787,0.2997249497243303,0.0,
bt_SOL_Adaptive_19_0,BUY,174.076995,0.5751092707614447,172.51323348242872,180.71383258785644,2025-02-22 10:10:00,0.07508497023809525,SOL_Adaptive,SOL,172.423745,2025-02-22 17:01:00,-0.9507994018863666,-1.025171272573047,0.14945684092477574,0.0,
bt_SOL_Adaptive_25_0,SELL,171.044435,0.5843510781277391,170.873390565,166.21786838509797,2025-02-23 01:25:00,0.07496249999999999,SOL_Adaptive,SOL,170.995455,2025-02-23 04:56:00,0.028621515806696807,-0.04660573321451514,0.14990353386314498,0.0002862151580669681,True
bt_BTC_Adaptive_29_0,SELL,95957.98700500002,0.0020829777082850124,95862.02901799502,95298.90797063356,2025-02-23 12:15:00,0.14990876089748845,BTC_Adaptive,BTC,95315.03369999999,2025-02-23 17:25:00,1.3392574017832408,1.1769605099192573,0.2988130787436395,0.013392574017832408,True
bt_SOL_Adaptive_28_0,SELL,170.204855,0.5863726984871585,170.034650145,166.67115079110354,2025-02-23 11:40:00,0.07485261009147415,SOL_Adaptive,SOL,166.713315,2025-02-23 22:23:00,2.047343731675862,1.953553192066386,0.1481697123841914,0.02047343731675862,True
bt_SOL_Adaptive_33_0,SELL,162.17887,0.6147415011987459,162.01669113,152.6868460124696,2025-02-24 03:00:00,0.07477356150488719,SOL_Adaptive,SOL,162.24107999999998,2025-02-24 03:37:00,-0.03824306878956981,-0.11304531259604919,0.14957580531136655,0.0,True
bt_BTC_Adaptive_35_0,SELL,95304.32400000001,0.0020939117317791203,95917.90995915844,93500.51020420776,2025-02-24 03:30:00,0.1496691315846588,BTC_Adaptive,BTC,95985.958995,2025-02-24 07:05:00,-1.4272835128216723,-1.5780231070409474,0.30040872580393385,0.0,
bt_BTC_Adaptive_43_0,SELL,90362.65607000001,0.002199299413171934,90272.29341393,88083.26804744983,2025-02-25 07:10:00,0.14905090235055626,BTC_Adaptive,BTC,87906.841455,2025-02-25 10:01:00,5.401071641628582,5.2020608265929615,0.2940510009698911,0.054010716416285826,True
bt_SOL_Adaptive_46_0,BUY,147.123525,0.6822678583611926,143.78203142155263,160.50984289223683,2025-02-25 22:05:00,0.07528323923722455,SOL_Adaptive,SOL,143.66813000000002,2025-02-25 22:46:00,-2.357504946441961,-2.431020056969354,0.14879834976461762,0.0,
bt_BTC_Adaptive_52_0,SELL,88366.084855,0.0022604969566929474,88277.71877014499,86395.70514887836,2025-02-26 12:05:00,0.14981344941719868,BTC_Adaptive,BTC,86426.541675,2025-02-26 14:07:00,4.3843314557645465,4.1939629403815255,0.29633865024257394,0.043843314557645466,True
bt_SOL_Adaptive_56_1,SELL,133.29332000000002,0.7474400179385605,133.16002668000002,120.8093517926866,2025-02-26 17:55:00,0.07472157111891772,SOL_Adaptive,SOL,133.34664,2025-02-26 18:45:00,-0.03985350175647295,-0.11460496300170804,0.14947303236415282,0.0,True
bt_BTC_Adaptive_55_0,SELL,85765.72568500001,0.0023261261416336336,85679.959959315,80157.93680628782,2025-02-26 17:55:00,0.14962642242904328,BTC_Adaptive,BTC,85801.45929,2025-02-27 05:39:00,-0.0831208727252794,-0.23280963580886663,0.2993151855126305,0.0,True
bt_SOL_Adaptive_61_0,BUY,142.11102,0.7051191651389085,139.81190980563125,151.86045097184376,2025-02-27 06:50:00,0.07515390283457904,SOL_Adaptive,SOL,139.720105,2025-02-27 08:33:00,-1.6858799887180982,-1.7597694815611387,0.1490433956776195,0.0,
bt_BTC_Adaptive_59_0,BUY,86543.239995,0.002312194060597751,85893.63785918159,89519.39070409205,2025-02-27 06:40:00,0.15007857412599354,BTC_Adaptive,BTC,85779.10899000001,2025-02-27 13:50:00,-1.7668191712795633,-1.9155726310270973,0.2988320338735274,0.0,
bt_BTC_Adaptive_66_0,BUY,83891.434755,0.0023898900005329456,83296.95187037875,84534.239,2025-02-27 19:35:00,0.15036847578850238,BTC_Adaptive,BTC,83126.605905,2025-02-27 20:11:00,-1.8278568207340902,-1.976854403907042,0.2993660589614542,0.0,
bt_BTC_Adaptive_66_1,BUY,83891.434755,0.0023898900005329456,83296.95187037875,85163.45378176571,2025-02-27 19:35:00,0.15036847578850238,BTC_Adaptive,BTC,83126.605905,2025-02-27 20:11:00,-1.8278568207340902,-1.976854403907042,0.2993660589614542,0.0,
bt_BTC_Adaptive_69_0,SELL,83021.44851,0.0024032693114405114,84082.58721921421,78906.88390392893,2025-02-27 20:15:00,0.1496421745465662,BTC_Adaptive,BTC,84182.06999999999,2025-02-27 21:17:00,-2.7892860091153375,-2.9410201481687404,0.30137631359996886,0.0,
